fecha,idema,estacion_meteo,provincia_meteo,altitud_meteo,temp_media,precipitacion,prec_traza,temp_min,temp_max,viento_vel_media,direccion_viento,racha_max,insolacion,presion_max,presion_min,anio_meteo,mes_meteo,dia_meteo
2020-01-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,1.0,0.0,False,0.3,1.8,1.7,28,5.6,0.0,1004.6,1001.9,2020,1,1
2020-01-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,0.6,0.0,False,-0.3,1.6,1.1,29,3.6,0.0,1003.4,1000.7,2020,1,2
2020-01-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,4.2,0.0,False,-0.1,8.5,4.4,30,8.3,2.4,1003.6,1000.7,2020,1,3
2020-01-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,8.6,0.0,False,3.6,13.6,5.0,33,12.5,8.2,1003.9,1001.2,2020,1,4
2020-01-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,8.2,0.0,False,3.0,13.3,3.6,30,10.3,8.9,1001.9,996.9,2020,1,5
2020-01-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,2.3,0.0,False,1.4,3.2,3.1,29,7.2,0.0,1001.7,998.6,2020,1,6
2020-01-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,3.4,0.0,False,0.9,6.0,1.1,22,6.1,2.6,1003.1,999.2,2020,1,7
2020-01-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,2.7,0.0,False,1.3,4.1,2.2,12,5.0,0.0,1002.2,999.1,2020,1,8
2020-01-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,2.6,0.0,True,1.3,3.9,1.9,29,8.9,0.0,1000.0,994.1,2020,1,9
2020-01-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,7.8,0.0,False,3.8,11.7,8.6,31,17.2,8.8,1000.1,995.1,2020,1,10
2020-01-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,6.4,0.0,False,0.9,12.0,4.2,29,11.4,9.0,1002.0,998.5,2020,1,11
2020-01-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,4.4,0.0,False,-1.8,10.5,2.2,32,6.4,8.9,1001.4,998.1,2020,1,12
2020-01-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,0.2,0.0,False,-1.9,2.4,2.2,13,6.1,1.3,998.8,992.0,2020,1,13
2020-01-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,1.3,0.0,False,-2.8,5.4,2.8,12,5.8,4.8,993.2,990.5,2020,1,14
2020-01-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,3.2,0.0,False,-2.1,8.6,2.2,10,6.7,5.2,997.0,992.0,2020,1,15
2020-01-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,6.8,0.2,False,0.3,13.3,3.1,12,7.5,8.4,998.1,993.8,2020,1,16
2020-01-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,10.0,0.0,False,3.9,16.2,5.0,28,14.2,5.7,1001.6,994.7,2020,1,17
2020-01-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,7.2,2.2,False,2.8,11.6,3.3,30,13.9,2.9,1001.1,988.0,2020,1,18
2020-01-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,6.0,0.8,False,3.2,8.7,8.3,32,16.1,2.1,997.1,988.6,2020,1,19
2020-01-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,4.4,5.2,False,2.1,6.6,8.3,32,16.4,1.1,998.9,996.1,2020,1,20
2020-01-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,3.2,41.0,False,1.2,5.1,6.7,99,12.2,0.0,998.3,990.5,2020,1,21
2020-01-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,6.8,2.8,False,4.5,9.0,4.2,28,7.8,1.5,993.0,989.1,2020,1,22
2020-01-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,8.6,0.0,False,6.0,11.2,2.2,12,7.2,4.9,992.6,988.6,2020,1,23
2020-01-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,7.5,0.0,False,5.1,9.9,1.7,07,5.3,3.5,992.6,989.5,2020,1,24
2020-01-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,9.2,10.2,False,6.2,12.1,2.5,11,6.7,1.3,990.3,986.6,2020,1,25
2020-01-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,9.7,0.0,False,5.8,13.6,4.2,30,8.3,6.1,992.8,987.8,2020,1,26
2020-01-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,7.5,0.0,False,2.6,12.4,5.6,25,14.4,3.5,992.7,987.6,2020,1,27
