contaminante,estacion_anio,media,mediana,maximo,registros
CO,Invierno,0.23109819428416264,0.21,1.89,60168
CO,Otoño,0.19768442934644834,0.18,1.35,61152
CO,Verano,0.18234387252857262,0.17,0.92,61824
CO,Primavera,0.18141928348805256,0.17,2.19,61824
NO,Invierno,12.38293621540576,7.34,248.79,16560
NO,Otoño,8.929111787162968,5.2,327.71,17472
NO,Primavera,5.520186387686388,4.04,129.27,17664
NO,Verano,4.437058059948076,3.51,122.42,17664
NO2,Invierno,25.49295027938819,21.73,177.73,68592
NO2,Otoño,21.87887690872199,17.69,165.68,69888
NO2,Primavera,17.342068832973595,13.9,158.14,70656
NO2,Verano,15.508670221313272,12.3,165.88,70656
O3,Verano,67.07929332463578,65.29,173.12,70656
O3,Primavera,62.560194411569434,64.91,134.36,70656
O3,Otoño,42.50203879360978,43.78,139.72,69888
O3,Invierno,30.818455071726675,26.07,103.95,68040
PM10,Verano,19.220806188407334,16.77,152.63,50784
PM10,Otoño,18.954837287423892,15.47,164.35,50232
PM10,Invierno,17.534811670029043,13.67,168.3,49104
PM10,Primavera,17.01204706237598,14.66,122.38,50784
PM2.5,Invierno,9.543056027164685,7.7,56.3,5064
PM2.5,Verano,9.377226631393297,8.21,93.69,4656
PM2.5,Otoño,7.89755385351843,7.19,51.64,6552
PM2.5,Primavera,7.594473170731708,6.86,30.89,4416
SO2,Invierno,4.987409819344462,4.61,40.43,51504
SO2,Otoño,4.3140843034612075,3.99,42.48,52416
SO2,Primavera,4.135287494743281,3.85,35.61,52992
SO2,Verano,3.8037343184791808,3.62,26.5,52992
